compound_id,target_id,target_name,assay_id,standard_type,standard_value,standard_units,pchembl_value,activity_type,source,MW,LogP,HBA,HBD
CHEMBL1000459,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900045,IC50,38.2,nM,7.42,BINDING,ChEMBL,356.1,1.89,6,1
CHEMBL1000460,CHEMBL219,D1 dopamine receptor,CHEMBL1900046,Ki,1000000.0,nM,3.0,BINDING,ChEMBL,351.1,0.99,5,0
CHEMBL1000461,CHEMBL205,Histamine H2 receptor,CHEMBL1900046,EC50,1.17,nM,8.93,BINDING,ChEMBL,407.3,5.37,0,1
CHEMBL1000462,CHEMBL302,Cyclooxygenase-1,CHEMBL1900046,Ki,251.26,nM,6.6,BINDING,ChEMBL,282.6,2.66,5,2
CHEMBL1000463,CHEMBL388,Tumor necrosis factor,CHEMBL1900046,EC50,421.82,nM,6.37,BINDING,ChEMBL,252.7,1.15,2,2
CHEMBL1000464,CHEMBL231,Histamine H1 receptor,CHEMBL1900046,EC50,7985.33,nM,5.1,BINDING,ChEMBL,352.5,4.43,2,1
CHEMBL1000465,CHEMBL218,Dopamine D2 receptor,CHEMBL1900046,IC50,26723.79,nM,4.57,BINDING,ChEMBL,473.5,2.6,2,0
CHEMBL1000466,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900046,IC50,380332.46,nM,3.42,BINDING,ChEMBL,356.9,1.99,3,4
CHEMBL1000467,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900046,Ki,148030.11,nM,3.83,BINDING,ChEMBL,421.1,1.15,3,1
CHEMBL1000468,CHEMBL219,D1 dopamine receptor,CHEMBL1900046,EC50,184.28,nM,6.73,BINDING,ChEMBL,382.0,2.74,2,0
CHEMBL1000469,CHEMBL205,Histamine H2 receptor,CHEMBL1900046,Ki,11933.77,nM,4.92,BINDING,ChEMBL,346.8,0.81,5,1
CHEMBL1000470,CHEMBL302,Cyclooxygenase-1,CHEMBL1900047,IC50,6443.84,nM,5.19,BINDING,ChEMBL,328.1,2.48,3,2
CHEMBL1000471,CHEMBL388,Tumor necrosis factor,CHEMBL1900047,IC50,750.58,nM,6.12,BINDING,ChEMBL,396.6,1.96,3,2
CHEMBL1000472,CHEMBL231,Histamine H1 receptor,CHEMBL1900047,EC50,181.69,nM,6.74,BINDING,ChEMBL,340.1,2.25,4,3
CHEMBL1000473,CHEMBL218,Dopamine D2 receptor,CHEMBL1900047,Ki,2272.0,nM,5.64,BINDING,ChEMBL,195.5,1.69,2,3
CHEMBL1000474,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900047,IC50,26263.04,nM,4.58,BINDING,ChEMBL,316.8,1.31,4,0
CHEMBL1000475,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900047,Ki,7.2,nM,8.14,BINDING,ChEMBL,433.2,0.15,4,2
CHEMBL1000476,CHEMBL219,D1 dopamine receptor,CHEMBL1900047,Ki,680.41,nM,6.17,BINDING,ChEMBL,432.4,2.1,2,2
CHEMBL1000477,CHEMBL205,Histamine H2 receptor,CHEMBL1900047,EC50,4.38,nM,8.36,BINDING,ChEMBL,267.9,2.57,3,3
CHEMBL1000478,CHEMBL302,Cyclooxygenase-1,CHEMBL1900047,Ki,1415.28,nM,5.85,BINDING,ChEMBL,492.8,2.52,1,3
CHEMBL1000479,CHEMBL388,Tumor necrosis factor,CHEMBL1900047,IC50,602.21,nM,6.22,BINDING,ChEMBL,265.5,2.19,5,0
CHEMBL1000480,CHEMBL231,Histamine H1 receptor,CHEMBL1900048,IC50,40.02,nM,7.4,BINDING,ChEMBL,326.0,3.11,5,2
CHEMBL1000481,CHEMBL218,Dopamine D2 receptor,CHEMBL1900048,Ki,11484.46,nM,4.94,BINDING,ChEMBL,317.0,1.61,5,2
CHEMBL1000482,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900048,Ki,15.67,nM,7.8,BINDING,ChEMBL,378.9,3.66,3,2
CHEMBL1000483,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900048,Ki,183902.43,nM,3.74,BINDING,ChEMBL,298.7,3.29,6,2
CHEMBL1000484,CHEMBL219,D1 dopamine receptor,CHEMBL1900048,EC50,197419.74,nM,3.7,BINDING,ChEMBL,356.4,3.41,3,4
CHEMBL1000485,CHEMBL205,Histamine H2 receptor,CHEMBL1900048,IC50,199784.25,nM,3.7,BINDING,ChEMBL,502.6,0.78,1,0
CHEMBL1000486,CHEMBL302,Cyclooxygenase-1,CHEMBL1900048,Ki,4.75,nM,8.32,BINDING,ChEMBL,367.9,1.06,1,2
CHEMBL1000487,CHEMBL388,Tumor necrosis factor,CHEMBL1900048,IC50,18.72,nM,7.73,BINDING,ChEMBL,221.2,1.66,2,0
CHEMBL1000488,CHEMBL231,Histamine H1 receptor,CHEMBL1900048,EC50,107.01,nM,6.97,BINDING,ChEMBL,269.6,1.33,1,4
CHEMBL1000489,CHEMBL218,Dopamine D2 receptor,CHEMBL1900048,EC50,8253.23,nM,5.08,BINDING,ChEMBL,265.7,3.01,3,1
CHEMBL1000490,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900049,Ki,6757.14,nM,5.17,BINDING,ChEMBL,399.1,2.95,6,2
CHEMBL1000491,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900049,IC50,3593.47,nM,5.44,BINDING,ChEMBL,334.8,0.7,4,2
CHEMBL1000492,CHEMBL219,D1 dopamine receptor,CHEMBL1900049,EC50,65382.93,nM,4.18,BINDING,ChEMBL,384.5,3.39,5,1
CHEMBL1000493,CHEMBL205,Histamine H2 receptor,CHEMBL1900049,Ki,0.14,nM,9.85,BINDING,ChEMBL,417.4,2.53,3,3
CHEMBL1000494,CHEMBL302,Cyclooxygenase-1,CHEMBL1900049,Ki,124981.62,nM,3.9,BINDING,ChEMBL,358.2,2.68,0,2
CHEMBL1000495,CHEMBL388,Tumor necrosis factor,CHEMBL1900049,EC50,1630.97,nM,5.79,BINDING,ChEMBL,198.6,2.87,2,2
CHEMBL1000496,CHEMBL231,Histamine H1 receptor,CHEMBL1900049,IC50,0.38,nM,9.42,BINDING,ChEMBL,307.9,1.87,3,3
CHEMBL1000497,CHEMBL218,Dopamine D2 receptor,CHEMBL1900049,IC50,15288.92,nM,4.82,BINDING,ChEMBL,424.1,2.39,5,1
CHEMBL1000498,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900049,IC50,21050.37,nM,4.68,BINDING,ChEMBL,405.0,1.76,4,1
CHEMBL1000499,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900049,IC50,25.18,nM,7.6,BINDING,ChEMBL,404.4,2.33,0,1
CHEMBL1000500,CHEMBL219,D1 dopamine receptor,CHEMBL1900050,IC50,10720.59,nM,4.97,BINDING,ChEMBL,428.1,4.18,1,1
CHEMBL1000501,CHEMBL205,Histamine H2 receptor,CHEMBL1900050,IC50,3498.71,nM,5.46,BINDING,ChEMBL,192.6,2.47,3,2
CHEMBL1000502,CHEMBL302,Cyclooxygenase-1,CHEMBL1900050,IC50,1010.24,nM,6.0,BINDING,ChEMBL,140.5,0.95,0,3
CHEMBL1000503,CHEMBL388,Tumor necrosis factor,CHEMBL1900050,Ki,2515.78,nM,5.6,BINDING,ChEMBL,360.7,3.01,1,3
CHEMBL1000504,CHEMBL231,Histamine H1 receptor,CHEMBL1900050,IC50,961.53,nM,6.02,BINDING,ChEMBL,174.4,4.42,3,1
CHEMBL1000505,CHEMBL218,Dopamine D2 receptor,CHEMBL1900050,IC50,12032.08,nM,4.92,BINDING,ChEMBL,331.8,2.33,6,2
CHEMBL1000506,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900050,Ki,97157.14,nM,4.01,BINDING,ChEMBL,290.3,1.71,3,2
CHEMBL1000507,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900050,IC50,5801.95,nM,5.24,BINDING,ChEMBL,386.9,4.06,1,2
CHEMBL1000508,CHEMBL219,D1 dopamine receptor,CHEMBL1900050,IC50,95261.52,nM,4.02,BINDING,ChEMBL,447.9,2.26,3,3
CHEMBL1000509,CHEMBL205,Histamine H2 receptor,CHEMBL1900050,Ki,5095.13,nM,5.29,BINDING,ChEMBL,344.9,0.76,5,5
CHEMBL1000510,CHEMBL302,Cyclooxygenase-1,CHEMBL1900051,IC50,156.58,nM,6.81,BINDING,ChEMBL,349.8,1.86,1,2
CHEMBL1000511,CHEMBL388,Tumor necrosis factor,CHEMBL1900051,IC50,3102.01,nM,5.51,BINDING,ChEMBL,417.2,4.94,4,1
CHEMBL1000512,CHEMBL231,Histamine H1 receptor,CHEMBL1900051,Ki,119.3,nM,6.92,BINDING,ChEMBL,289.7,2.96,3,2
CHEMBL1000513,CHEMBL218,Dopamine D2 receptor,CHEMBL1900051,Ki,170713.73,nM,3.77,BINDING,ChEMBL,388.9,2.11,4,3
CHEMBL1000514,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900051,Ki,0.12,nM,9.91,BINDING,ChEMBL,433.1,2.61,2,1
CHEMBL1000515,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900051,IC50,3997.89,nM,5.4,BINDING,ChEMBL,346.0,1.0,4,1
CHEMBL1000516,CHEMBL219,D1 dopamine receptor,CHEMBL1900051,IC50,0.64,nM,9.19,BINDING,ChEMBL,287.4,3.35,3,4
CHEMBL1000517,CHEMBL205,Histamine H2 receptor,CHEMBL1900051,IC50,654238.77,nM,3.18,BINDING,ChEMBL,491.8,1.03,2,2
CHEMBL1000518,CHEMBL302,Cyclooxygenase-1,CHEMBL1900051,Ki,62.47,nM,7.2,BINDING,ChEMBL,318.7,2.79,4,1
CHEMBL1000519,CHEMBL388,Tumor necrosis factor,CHEMBL1900051,EC50,464.83,nM,6.33,BINDING,ChEMBL,211.6,4.1,4,2
CHEMBL1000520,CHEMBL231,Histamine H1 receptor,CHEMBL1900052,EC50,7.92,nM,8.1,BINDING,ChEMBL,273.9,2.09,3,1
CHEMBL1000521,CHEMBL218,Dopamine D2 receptor,CHEMBL1900052,Ki,98.59,nM,7.01,BINDING,ChEMBL,355.5,0.4,3,4
CHEMBL1000522,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900052,EC50,5.65,nM,8.25,BINDING,ChEMBL,337.0,2.47,1,2
CHEMBL1000523,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900052,IC50,214.55,nM,6.67,BINDING,ChEMBL,357.0,1.26,1,2
CHEMBL1000524,CHEMBL219,D1 dopamine receptor,CHEMBL1900052,Ki,1.75,nM,8.76,BINDING,ChEMBL,327.2,3.27,1,0
CHEMBL1000525,CHEMBL205,Histamine H2 receptor,CHEMBL1900052,Ki,10486.92,nM,4.98,BINDING,ChEMBL,314.2,1.04,4,0
CHEMBL1000526,CHEMBL302,Cyclooxygenase-1,CHEMBL1900052,Ki,187.32,nM,6.73,BINDING,ChEMBL,396.3,4.19,1,1
CHEMBL1000527,CHEMBL388,Tumor necrosis factor,CHEMBL1900052,Ki,2988.82,nM,5.52,BINDING,ChEMBL,319.3,2.74,2,2
CHEMBL1000528,CHEMBL231,Histamine H1 receptor,CHEMBL1900052,IC50,67.74,nM,7.17,BINDING,ChEMBL,395.6,2.1,0,4
CHEMBL1000529,CHEMBL218,Dopamine D2 receptor,CHEMBL1900052,Ki,2915.3,nM,5.54,BINDING,ChEMBL,358.6,2.12,4,1
CHEMBL1000530,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900053,Ki,15479.46,nM,4.81,BINDING,ChEMBL,237.1,2.94,4,0
CHEMBL1000531,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900053,EC50,302.71,nM,6.52,BINDING,ChEMBL,477.9,1.47,3,3
CHEMBL1000532,CHEMBL219,D1 dopamine receptor,CHEMBL1900053,Ki,3204.54,nM,5.49,BINDING,ChEMBL,380.3,3.33,4,2
CHEMBL1000533,CHEMBL205,Histamine H2 receptor,CHEMBL1900053,Ki,1410.47,nM,5.85,BINDING,ChEMBL,274.3,2.81,1,2
CHEMBL1000534,CHEMBL302,Cyclooxygenase-1,CHEMBL1900053,IC50,5.15,nM,8.29,BINDING,ChEMBL,260.8,3.94,2,2
CHEMBL1000535,CHEMBL388,Tumor necrosis factor,CHEMBL1900053,Ki,2029.05,nM,5.69,BINDING,ChEMBL,261.7,3.48,1,2
CHEMBL1000536,CHEMBL231,Histamine H1 receptor,CHEMBL1900053,Ki,24.24,nM,7.62,BINDING,ChEMBL,233.5,4.74,3,2
CHEMBL1000537,CHEMBL218,Dopamine D2 receptor,CHEMBL1900053,IC50,1615.25,nM,5.79,BINDING,ChEMBL,239.5,0.34,2,3
CHEMBL1000538,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900053,Ki,141341.65,nM,3.85,BINDING,ChEMBL,337.3,2.76,2,1
CHEMBL1000539,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900053,IC50,1168.31,nM,5.93,BINDING,ChEMBL,220.6,2.96,2,1
CHEMBL1000540,CHEMBL219,D1 dopamine receptor,CHEMBL1900054,IC50,1.91,nM,8.72,BINDING,ChEMBL,238.7,1.92,2,2
CHEMBL1000541,CHEMBL205,Histamine H2 receptor,CHEMBL1900054,IC50,151.08,nM,6.82,BINDING,ChEMBL,431.8,1.86,0,3
CHEMBL1000542,CHEMBL302,Cyclooxygenase-1,CHEMBL1900054,Ki,4812.39,nM,5.32,BINDING,ChEMBL,335.9,-0.98,6,1
CHEMBL1000543,CHEMBL388,Tumor necrosis factor,CHEMBL1900054,Ki,156.19,nM,6.81,BINDING,ChEMBL,318.1,3.08,3,0
CHEMBL1000544,CHEMBL231,Histamine H1 receptor,CHEMBL1900054,Ki,533.4,nM,6.27,BINDING,ChEMBL,403.8,2.7,2,0
CHEMBL1000545,CHEMBL218,Dopamine D2 receptor,CHEMBL1900054,Ki,121.01,nM,6.92,BINDING,ChEMBL,358.2,-0.28,5,2
CHEMBL1000546,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900054,EC50,7087.46,nM,5.15,BINDING,ChEMBL,427.7,3.31,3,0
CHEMBL1000547,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900054,Ki,2168.12,nM,5.66,BINDING,ChEMBL,292.7,3.47,6,1
CHEMBL1000548,CHEMBL219,D1 dopamine receptor,CHEMBL1900054,IC50,0.61,nM,9.22,BINDING,ChEMBL,288.4,2.89,4,1
CHEMBL1000549,CHEMBL205,Histamine H2 receptor,CHEMBL1900054,IC50,475.3,nM,6.32,BINDING,ChEMBL,482.3,3.25,4,0
CHEMBL1000550,CHEMBL302,Cyclooxygenase-1,CHEMBL1900055,IC50,12.89,nM,7.89,BINDING,ChEMBL,286.2,2.55,4,2
CHEMBL1000551,CHEMBL388,Tumor necrosis factor,CHEMBL1900055,EC50,49884.79,nM,4.3,BINDING,ChEMBL,442.2,1.04,2,1
CHEMBL1000552,CHEMBL231,Histamine H1 receptor,CHEMBL1900055,Ki,166888.76,nM,3.78,BINDING,ChEMBL,438.0,2.27,3,5
CHEMBL1000553,CHEMBL218,Dopamine D2 receptor,CHEMBL1900055,IC50,0.53,nM,9.27,BINDING,ChEMBL,341.1,2.15,1,0
CHEMBL1000554,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900055,Ki,722215.94,nM,3.14,BINDING,ChEMBL,390.2,1.43,2,1
CHEMBL1000555,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900055,IC50,621.78,nM,6.21,BINDING,ChEMBL,327.7,4.96,1,3
CHEMBL1000556,CHEMBL219,D1 dopamine receptor,CHEMBL1900055,EC50,292.17,nM,6.53,BINDING,ChEMBL,444.7,1.67,7,0
CHEMBL1000557,CHEMBL205,Histamine H2 receptor,CHEMBL1900055,IC50,2759.35,nM,5.56,BINDING,ChEMBL,364.4,2.17,4,2
CHEMBL1000558,CHEMBL302,Cyclooxygenase-1,CHEMBL1900055,IC50,1896.86,nM,5.72,BINDING,ChEMBL,247.7,1.43,4,0
CHEMBL1000559,CHEMBL388,Tumor necrosis factor,CHEMBL1900055,EC50,43.82,nM,7.36,BINDING,ChEMBL,342.4,2.1,2,3
CHEMBL1000560,CHEMBL231,Histamine H1 receptor,CHEMBL1900056,Ki,1.81,nM,8.74,BINDING,ChEMBL,381.9,2.79,1,3
CHEMBL1000561,CHEMBL218,Dopamine D2 receptor,CHEMBL1900056,IC50,449.29,nM,6.35,BINDING,ChEMBL,364.4,1.62,2,2
CHEMBL1000562,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900056,Ki,34883.12,nM,4.46,BINDING,ChEMBL,289.0,2.96,3,3
CHEMBL1000563,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900056,IC50,5543.92,nM,5.26,BINDING,ChEMBL,234.7,3.49,1,3
CHEMBL1000564,CHEMBL219,D1 dopamine receptor,CHEMBL1900056,Ki,80501.74,nM,4.09,BINDING,ChEMBL,352.3,2.53,2,1
CHEMBL1000565,CHEMBL205,Histamine H2 receptor,CHEMBL1900056,EC50,3310.41,nM,5.48,BINDING,ChEMBL,355.1,2.05,3,1
CHEMBL1000566,CHEMBL302,Cyclooxygenase-1,CHEMBL1900056,Ki,26769.22,nM,4.57,BINDING,ChEMBL,408.0,3.04,1,1
CHEMBL1000567,CHEMBL388,Tumor necrosis factor,CHEMBL1900056,IC50,4900.55,nM,5.31,BINDING,ChEMBL,361.5,3.55,3,3
CHEMBL1000568,CHEMBL231,Histamine H1 receptor,CHEMBL1900056,IC50,36374.63,nM,4.44,BINDING,ChEMBL,377.0,2.18,2,3
CHEMBL1000569,CHEMBL218,Dopamine D2 receptor,CHEMBL1900056,EC50,23578.68,nM,4.63,BINDING,ChEMBL,439.8,2.96,2,3
CHEMBL1000570,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900057,Ki,1000000.0,nM,3.0,BINDING,ChEMBL,326.1,2.07,1,0
CHEMBL1000571,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900057,Ki,0.48,nM,9.32,BINDING,ChEMBL,248.9,0.86,0,1
CHEMBL1000572,CHEMBL219,D1 dopamine receptor,CHEMBL1900057,Ki,5.62,nM,8.25,BINDING,ChEMBL,318.0,2.66,1,2
CHEMBL1000573,CHEMBL205,Histamine H2 receptor,CHEMBL1900057,Ki,12723.51,nM,4.9,BINDING,ChEMBL,263.1,2.13,6,2
CHEMBL1000574,CHEMBL302,Cyclooxygenase-1,CHEMBL1900057,Ki,15.86,nM,7.8,BINDING,ChEMBL,313.5,4.04,4,0
CHEMBL1000575,CHEMBL388,Tumor necrosis factor,CHEMBL1900057,Ki,354.83,nM,6.45,BINDING,ChEMBL,491.4,1.22,2,5
CHEMBL1000576,CHEMBL231,Histamine H1 receptor,CHEMBL1900057,Ki,716.32,nM,6.14,BINDING,ChEMBL,304.4,2.07,4,2
CHEMBL1000577,CHEMBL218,Dopamine D2 receptor,CHEMBL1900057,IC50,50597.22,nM,4.3,BINDING,ChEMBL,337.4,2.87,2,0
CHEMBL1000578,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900057,EC50,2582.24,nM,5.59,BINDING,ChEMBL,321.0,3.39,2,0
CHEMBL1000579,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900057,IC50,4.43,nM,8.35,BINDING,ChEMBL,253.3,2.57,5,2
CHEMBL1000580,CHEMBL219,D1 dopamine receptor,CHEMBL1900058,IC50,497.11,nM,6.3,BINDING,ChEMBL,386.1,3.69,2,0
CHEMBL1000581,CHEMBL205,Histamine H2 receptor,CHEMBL1900058,EC50,35048.16,nM,4.46,BINDING,ChEMBL,374.5,1.84,3,2
CHEMBL1000582,CHEMBL302,Cyclooxygenase-1,CHEMBL1900058,IC50,3.0,nM,8.52,BINDING,ChEMBL,250.8,3.23,6,3
CHEMBL1000583,CHEMBL388,Tumor necrosis factor,CHEMBL1900058,IC50,116.1,nM,6.94,BINDING,ChEMBL,307.0,3.85,2,1
CHEMBL1000584,CHEMBL231,Histamine H1 receptor,CHEMBL1900058,EC50,468.71,nM,6.33,BINDING,ChEMBL,275.9,2.36,1,1
CHEMBL1000585,CHEMBL218,Dopamine D2 receptor,CHEMBL1900058,IC50,4.29,nM,8.37,BINDING,ChEMBL,315.4,4.03,2,2
CHEMBL1000586,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900058,IC50,982978.06,nM,3.01,BINDING,ChEMBL,191.4,0.7,5,2
CHEMBL1000587,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900058,IC50,8734.6,nM,5.06,BINDING,ChEMBL,381.7,2.67,1,5
CHEMBL1000588,CHEMBL219,D1 dopamine receptor,CHEMBL1900058,EC50,6422.19,nM,5.19,BINDING,ChEMBL,248.6,3.03,4,3
CHEMBL1000589,CHEMBL205,Histamine H2 receptor,CHEMBL1900058,IC50,38315.17,nM,4.42,BINDING,ChEMBL,420.4,0.78,2,0
CHEMBL1000590,CHEMBL302,Cyclooxygenase-1,CHEMBL1900059,IC50,8685.85,nM,5.06,BINDING,ChEMBL,343.4,2.87,1,3
CHEMBL1000591,CHEMBL388,Tumor necrosis factor,CHEMBL1900059,Ki,1154.85,nM,5.94,BINDING,ChEMBL,389.3,2.23,2,1
CHEMBL1000592,CHEMBL231,Histamine H1 receptor,CHEMBL1900059,IC50,650.34,nM,6.19,BINDING,ChEMBL,332.7,1.28,3,2
CHEMBL1000593,CHEMBL218,Dopamine D2 receptor,CHEMBL1900059,Ki,782.7,nM,6.11,BINDING,ChEMBL,239.3,3.58,2,0
CHEMBL1000594,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900059,EC50,26257.55,nM,4.58,BINDING,ChEMBL,169.8,2.9,3,1
CHEMBL1000595,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900059,Ki,82866.39,nM,4.08,BINDING,ChEMBL,319.5,0.98,4,0
CHEMBL1000596,CHEMBL219,D1 dopamine receptor,CHEMBL1900059,IC50,33087.59,nM,4.48,BINDING,ChEMBL,353.0,2.12,3,3
CHEMBL1000597,CHEMBL205,Histamine H2 receptor,CHEMBL1900059,Ki,465.74,nM,6.33,BINDING,ChEMBL,406.3,5.5,3,0
CHEMBL1000598,CHEMBL302,Cyclooxygenase-1,CHEMBL1900059,IC50,20.65,nM,7.69,BINDING,ChEMBL,387.8,1.56,1,2
CHEMBL1000599,CHEMBL388,Tumor necrosis factor,CHEMBL1900059,IC50,39.45,nM,7.4,BINDING,ChEMBL,435.2,2.19,4,2
CHEMBL1000600,CHEMBL231,Histamine H1 receptor,CHEMBL1900060,IC50,92867.61,nM,4.03,BINDING,ChEMBL,289.1,2.13,1,3
CHEMBL1000601,CHEMBL218,Dopamine D2 receptor,CHEMBL1900060,EC50,8275.4,nM,5.08,BINDING,ChEMBL,320.5,3.47,3,0
CHEMBL1000602,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900060,Ki,791.76,nM,6.1,BINDING,ChEMBL,396.2,1.71,3,3
CHEMBL1000603,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900060,IC50,13636.63,nM,4.87,BINDING,ChEMBL,89.6,3.93,1,2
CHEMBL1000604,CHEMBL219,D1 dopamine receptor,CHEMBL1900060,IC50,1.08,nM,8.97,BINDING,ChEMBL,381.8,1.6,2,1
CHEMBL1000605,CHEMBL205,Histamine H2 receptor,CHEMBL1900060,EC50,31.98,nM,7.5,BINDING,ChEMBL,463.5,2.09,6,1
CHEMBL1000606,CHEMBL302,Cyclooxygenase-1,CHEMBL1900060,Ki,7.51,nM,8.12,BINDING,ChEMBL,362.7,3.89,2,1
CHEMBL1000607,CHEMBL388,Tumor necrosis factor,CHEMBL1900060,Ki,1123.61,nM,5.95,BINDING,ChEMBL,433.8,-0.92,4,1
CHEMBL1000608,CHEMBL231,Histamine H1 receptor,CHEMBL1900060,Ki,54.48,nM,7.26,BINDING,ChEMBL,309.7,1.77,3,3
CHEMBL1000609,CHEMBL218,Dopamine D2 receptor,CHEMBL1900060,Ki,29625.78,nM,4.53,BINDING,ChEMBL,404.5,3.66,7,1
CHEMBL1000610,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900061,EC50,1000000.0,nM,3.0,BINDING,ChEMBL,297.6,0.04,1,3
CHEMBL1000611,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900061,Ki,240864.71,nM,3.62,BINDING,ChEMBL,318.5,1.59,2,0
CHEMBL1000612,CHEMBL219,D1 dopamine receptor,CHEMBL1900061,EC50,1099.21,nM,5.96,BINDING,ChEMBL,318.2,2.45,3,2
CHEMBL1000613,CHEMBL205,Histamine H2 receptor,CHEMBL1900061,Ki,0.11,nM,9.95,BINDING,ChEMBL,402.7,3.8,2,1
CHEMBL1000614,CHEMBL302,Cyclooxygenase-1,CHEMBL1900061,Ki,0.19,nM,9.73,BINDING,ChEMBL,416.7,1.74,4,0
CHEMBL1000615,CHEMBL388,Tumor necrosis factor,CHEMBL1900061,Ki,23119.98,nM,4.64,BINDING,ChEMBL,380.9,3.34,2,1
CHEMBL1000616,CHEMBL231,Histamine H1 receptor,CHEMBL1900061,IC50,3.7,nM,8.43,BINDING,ChEMBL,328.5,2.71,2,1
CHEMBL1000617,CHEMBL218,Dopamine D2 receptor,CHEMBL1900061,EC50,438.32,nM,6.36,BINDING,ChEMBL,351.3,2.67,2,1
CHEMBL1000618,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900061,Ki,371.97,nM,6.43,BINDING,ChEMBL,455.0,3.62,4,3
CHEMBL1000619,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900061,Ki,6298.59,nM,5.2,BINDING,ChEMBL,467.0,2.15,3,3
CHEMBL1000620,CHEMBL219,D1 dopamine receptor,CHEMBL1900062,IC50,174.55,nM,6.76,BINDING,ChEMBL,395.5,3.8,4,0
CHEMBL1000621,CHEMBL205,Histamine H2 receptor,CHEMBL1900062,IC50,56728.8,nM,4.25,BINDING,ChEMBL,361.8,1.68,6,4
CHEMBL1000622,CHEMBL302,Cyclooxygenase-1,CHEMBL1900062,Ki,240760.88,nM,3.62,BINDING,ChEMBL,273.6,3.12,1,3
CHEMBL1000623,CHEMBL388,Tumor necrosis factor,CHEMBL1900062,IC50,255.81,nM,6.59,BINDING,ChEMBL,515.1,2.69,1,4
CHEMBL1000624,CHEMBL231,Histamine H1 receptor,CHEMBL1900062,IC50,1418.04,nM,5.85,BINDING,ChEMBL,407.5,3.01,2,2
CHEMBL1000625,CHEMBL218,Dopamine D2 receptor,CHEMBL1900062,EC50,0.51,nM,9.29,BINDING,ChEMBL,330.0,2.06,3,2
CHEMBL1000626,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900062,IC50,114.2,nM,6.94,BINDING,ChEMBL,404.8,1.99,3,0
CHEMBL1000627,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900062,EC50,11.44,nM,7.94,BINDING,ChEMBL,530.0,1.41,4,2
CHEMBL1000628,CHEMBL219,D1 dopamine receptor,CHEMBL1900062,Ki,1545.4,nM,5.81,BINDING,ChEMBL,236.1,1.95,4,2
CHEMBL1000629,CHEMBL205,Histamine H2 receptor,CHEMBL1900062,IC50,11467.08,nM,4.94,BINDING,ChEMBL,491.3,3.1,1,2
CHEMBL1000630,CHEMBL302,Cyclooxygenase-1,CHEMBL1900063,Ki,197083.31,nM,3.71,BINDING,ChEMBL,385.4,1.6,2,2
CHEMBL1000631,CHEMBL388,Tumor necrosis factor,CHEMBL1900063,Ki,243.38,nM,6.61,BINDING,ChEMBL,299.1,1.82,3,4
